# subject	from	to	outcome	code
node	created	preparing	accepted	-
node	preparing	ready	accepted	-
node	ready	running	accepted	-
node	running	draining	accepted	-
node	draining	succeeded	accepted	-
node	running	cancelled	accepted	-
node	draining	failed	accepted	-
node	created	running	rejected	CND-LIF-001
node	succeeded	running	rejected	CND-LIF-001
composite	created	preparing	accepted	-
composite	preparing	ready	accepted	-
composite	ready	running	accepted	-
composite	running	draining	accepted	-
composite	draining	succeeded	accepted	-
composite	running	cancelled	accepted	-
composite	draining	failed	accepted	-
composite	created	running	rejected	CND-LIF-001
composite	succeeded	running	rejected	CND-LIF-001
run	created	preparing	accepted	-
run	preparing	ready	accepted	-
run	ready	running	accepted	-
run	running	draining	accepted	-
run	draining	succeeded	accepted	-
run	running	cancelled	accepted	-
run	draining	failed	accepted	-
run	created	running	rejected	CND-LIF-001
run	succeeded	running	rejected	CND-LIF-001
cord	created	prepared	accepted	-
cord	prepared	open	accepted	-
cord	open	draining	accepted	-
cord	draining	completed	accepted	-
cord	open	cancelled	accepted	-
cord	draining	failed	accepted	-
cord	open	disconnected	accepted	-
cord	created	open	rejected	CND-LIF-001
cord	completed	open	rejected	CND-LIF-001
