# case	mode	consumer_direction	producer_direction	consumer_type	producer_type	required_presence	candidate_presence	required_connections	candidate_connections	consumer_values	producer_values	consumer_delivery	producer_delivery	consumer_temporal	producer_temporal	consumer_terminal	producer_terminal	consumer_sensitivity	producer_sensitivity	consumer_loss	producer_loss	outcome	reason	consumer_descriptor_hash
accepted	connection	input	output	a	a	required	required	exactly-one	one-or-more	exactly-one	exactly-one	finite-batch	finite-batch	atemporal	atemporal	finite	finite	public	public	lossless-only	lossless-only	compatible	port-accepted	sha256:9105a2a03a0592010858f953f74c6e4babf5790c5c14a5831795ddb8a6d705e7
direction_mismatch	connection	output	output	a	a	required	required	exactly-one	one-or-more	exactly-one	exactly-one	finite-batch	finite-batch	atemporal	atemporal	finite	finite	public	public	lossless-only	lossless-only	incompatible	port-direction-mismatch	-
type_mismatch	connection	input	output	a	b	required	required	exactly-one	one-or-more	exactly-one	exactly-one	finite-batch	finite-batch	atemporal	atemporal	finite	finite	public	public	lossless-only	lossless-only	incompatible	port-type-mismatch	-
required_optional	substitution	input	input	a	a	optional	required	zero-or-more	zero-or-more	exactly-one	exactly-one	finite-batch	finite-batch	atemporal	atemporal	finite	finite	public	public	lossless-only	lossless-only	incompatible	port-presence-mismatch	-
connection_cardinality	substitution	input	input	a	a	required	required	zero-or-more	exactly-one	exactly-one	exactly-one	finite-batch	finite-batch	atemporal	atemporal	finite	finite	public	public	lossless-only	lossless-only	incompatible	port-connection-cardinality-mismatch	-
value_cardinality	connection	input	output	a	a	required	required	exactly-one	one-or-more	exactly-one	one-or-more	stream	stream	committed	committed	open-ended	open-ended	public	public	lossless-only	lossless-only	incompatible	port-value-cardinality-mismatch	-
delivery_mismatch	connection	input	output	a	a	required	required	exactly-one	one-or-more	zero-or-more	zero-or-more	latest-state	stream	committed	committed	open-ended	open-ended	public	public	lossless-only	lossless-only	incompatible	port-delivery-mismatch	-
temporal_mismatch	connection	input	output	a	a	required	required	exactly-one	one-or-more	zero-or-more	zero-or-more	stream	stream	committed	progressive	open-ended	open-ended	public	public	lossless-only	lossless-only	incompatible	port-temporal-mismatch	-
terminal_mismatch	connection	input	output	a	a	required	required	exactly-one	one-or-more	zero-or-more	zero-or-more	stream	stream	progressive	progressive	finite	open-ended	public	public	lossless-only	lossless-only	incompatible	port-terminal-mismatch	-
sensitivity_violation	connection	input	output	a	a	required	required	exactly-one	one-or-more	zero-or-more	zero-or-more	stream	stream	progressive	progressive	open-ended	open-ended	public	secret	lossless-only	lossless-only	incompatible	port-sensitivity-violation	-
flow_mismatch	connection	input	output	a	a	required	required	exactly-one	one-or-more	zero-or-more	zero-or-more	stream	stream	progressive	progressive	open-ended	open-ended	secret	public	lossless-only	type-contract-defined	incompatible	port-flow-constraint-mismatch	-
committed_to_progressive	connection	input	output	a	a	required	required	exactly-one	one-or-more	zero-or-more	zero-or-more	stream	stream	progressive	committed	open-ended	open-ended	public	public	lossless-only	lossless-only	compatible	port-accepted	-
explicit_adapter_input	connection	input	output	a	a	required	required	exactly-one	one-or-more	exactly-one	exactly-one	stream	stream	committed	committed	finite	finite	public	public	lossless-only	lossless-only	compatible	port-accepted	-
explicit_adapter_output	connection	input	output	b	b	required	required	exactly-one	one-or-more	exactly-one	exactly-one	stream	stream	committed	committed	finite	finite	public	public	lossless-only	lossless-only	compatible	port-accepted	-
